Parameters,Sens,PPV,PocNum_Mean,PocNum_Max
m3.2_M5.4_i30_D2.0,1,0.682,1.69,3
m3.0_M5.6_i40_D1.8,1,0.652,1.77,5
m3.2_M5.4_i25_D1.8,1,0.625,1.85,3
m3.2_M5.4_i30_D2.2,1,0.609,1.77,3
m3.2_M5.8_i30_D1.6,1,0.583,1.85,4
m3.2_M5.4_i25_D2.0,1,0.577,2,4
m3.2_M5.6_i25_D1.6,1,0.577,2,4
m3.0_M5.6_i30_D1.6,1,0.577,2,6
m3.0_M5.4_i40_D2.2,1,0.565,1.77,3
m3.2_M5.4_i30_D2.4,1,0.56,1.92,3
m3.2_M5.6_i30_D1.8,1,0.556,2.08,4
m3.0_M5.4_i30_D2.0,1,0.538,2,3
m3.0_M5.6_i35_D1.8,1,0.536,2.15,5
m3.0_M5.4_i35_D2.2,1,0.519,2.08,3
m3.2_M5.4_i25_D2.2,1,0.519,2.08,4
m3.2_M5.6_i25_D1.8,1,0.517,2.23,4
m3.2_M5.6_i30_D2.0,1,0.517,2.23,4
m3.2_M5.8_i25_D1.6,1,0.517,2.23,5
m3.0_M5.4_i40_D2.4,1,0.5,2,3
m3.0_M5.6_i40_D2.0,1,0.5,2.15,3
m3.0_M5.8_i40_D1.8,1,0.5,2.15,4
m3.2_M5.8_i30_D1.8,1,0.5,2.15,4
m3.2_M5.4_i20_D1.8,1,0.484,2.38,4
m3.0_M5.6_i30_D1.8,1,0.484,2.38,5
m2.8_M5.6_i35_D1.6,1,0.484,2.38,6
m3.0_M5.6_i40_D2.2,1,0.483,2.23,4
m3.2_M5.4_i20_D1.6,1,0.483,2.23,4
m3.0_M5.8_i30_D1.6,1,0.483,2.23,5
m3.2_M5.6_i30_D2.2,1,0.483,2.23,5
m2.6_M5.6_i40_D1.6,1,0.469,2.46,5
m3.0_M5.4_i30_D2.2,1,0.467,2.31,3
m2.8_M5.6_i40_D1.8,1,0.467,2.31,4
m3.0_M5.4_i25_D1.6,1,0.467,2.31,4
m3.2_M5.6_i20_D1.6,1,0.457,2.69,6
m3.0_M5.6_i35_D2.0,1,0.452,2.38,4
m3.2_M5.4_i25_D2.4,1,0.452,2.38,4
m2.8_M5.8_i40_D1.8,1,0.452,2.38,5
m3.0_M5.8_i35_D1.8,1,0.452,2.38,5
m3.0_M5.6_i25_D1.6,1,0.429,2.69,6
m3.2_M5.8_i25_D1.8,1,0.429,2.69,6
m2.8_M5.4_i30_D1.6,1,0.424,2.54,5
m3.2_M5.6_i30_D2.4,1,0.424,2.54,5
m2.8_M5.8_i30_D1.6,1,0.421,2.92,6
m3.2_M5.6_i25_D2.0,1,0.417,2.77,5
m2.8_M5.6_i30_D1.6,1,0.417,2.77,6
m2.6_M5.8_i40_D1.6,1,0.412,2.62,5
m2.8_M5.8_i35_D1.6,1,0.412,2.62,5
m3.0_M5.4_i25_D1.8,1,0.412,2.62,5
m3.0_M5.6_i40_D2.4,1,0.412,2.62,5
m3.2_M5.6_i20_D1.8,1,0.41,3,6
m3.2_M5.8_i20_D1.6,1,0.41,3,6
m2.6_M5.6_i35_D1.6,1,0.41,3,7
m3.0_M5.8_i25_D1.6,1,0.405,2.85,5
m3.2_M5.4_i20_D2.0,1,0.405,2.85,5
m3.0_M5.6_i35_D2.2,1,0.4,2.69,4
m3.0_M5.8_i30_D1.8,1,0.4,2.69,5
m3.0_M5.8_i40_D2.0,1,0.4,2.69,5
m3.0_M5.4_i35_D2.4,1,0.394,2.54,5
m2.6_M5.8_i35_D1.6,1,0.39,3.15,7
m3.0_M5.6_i30_D2.0,1,0.389,2.77,4
m2.8_M5.4_i30_D1.8,1,0.389,2.77,5
m2.6_M5.6_i30_D1.6,1,0.388,3.77,10
m3.0_M5.4_i25_D2.0,1,0.378,2.85,5
m3.0_M5.6_i35_D2.4,1,0.378,2.85,5
m2.8_M5.6_i35_D1.8,1,0.378,2.85,6
m3.2_M5.8_i30_D2.0,1,0.378,2.85,6
m3.0_M5.6_i25_D1.8,1,0.375,3.08,6
m3.0_M5.4_i30_D2.4,1,0.371,2.69,6
m3.0_M5.8_i40_D2.2,1,0.368,2.92,5
m3.2_M5.6_i25_D2.2,1,0.368,2.92,5
m2.8_M5.8_i35_D1.8,1,0.368,2.92,6
m2.6_M5.6_i40_D1.8,1,0.366,3.15,6
m3.0_M5.8_i35_D2.0,1,0.359,3,5
m3.0_M5.8_i40_D2.4,1,0.359,3,5
m3.2_M5.8_i30_D2.2,1,0.359,3,6
m3.0_M5.8_i35_D2.4,1,0.35,3.08,5
m2.6_M5.8_i40_D1.8,1,0.349,3.31,6
m2.6_M5.4_i30_D1.6,1,0.349,3.31,8
m3.0_M5.6_i30_D2.2,1,0.341,3.15,5
m3.0_M5.8_i35_D2.2,1,0.341,3.15,5
m3.2_M5.4_i20_D2.2,1,0.341,3.15,5
m3.2_M5.8_i30_D2.4,1,0.341,3.15,5
m3.0_M5.4_i20_D1.6,1,0.341,3.15,7
m2.6_M5.6_i35_D1.8,1,0.34,3.62,8
m3.2_M5.6_i25_D2.4,1,0.333,3.23,5
m2.8_M5.6_i30_D1.8,1,0.333,3.23,6
m3.0_M5.8_i30_D2.0,1,0.333,3.23,6
m2.8_M5.4_i25_D1.6,1,0.333,3.23,7
m3.0_M5.6_i20_D1.6,1,0.333,3.69,9
m2.6_M5.8_i30_D1.6,1,0.327,4,9
m2.8_M5.6_i25_D1.6,1,0.327,3.77,9
m3.2_M5.8_i20_D1.8,1,0.326,3.54,8
m3.2_M5.4_i20_D2.4,1,0.326,3.31,5
m3.0_M5.6_i30_D2.4,1,0.326,3.31,6
m3.2_M5.6_i20_D2.0,1,0.319,3.62,6
m2.8_M5.8_i30_D1.8,1,0.319,3.62,7
m3.2_M5.8_i25_D2.0,1,0.318,3.38,8
m2.8_M5.8_i25_D1.6,1,0.308,4,8
m2.6_M5.8_i35_D1.8,1,0.306,3.77,7
m3.0_M5.8_i25_D1.8,1,0.306,3.77,8
m3.0_M5.4_i25_D2.2,1,0.304,3.54,6
m3.0_M5.6_i25_D2.0,1,0.304,3.54,6
m3.0_M5.4_i20_D1.8,1,0.304,3.54,8
m3.0_M5.8_i30_D2.4,1,0.3,3.85,6
m3.0_M5.8_i30_D2.2,1,0.298,3.62,6
m2.6_M5.4_i30_D1.8,1,0.298,3.62,7
m2.8_M5.4_i25_D1.8,1,0.298,3.62,7
m3.0_M5.8_i20_D1.6,1,0.296,4.15,9
m3.2_M5.8_i25_D2.2,1,0.292,3.69,8
m3.0_M5.6_i25_D2.4,1,0.288,4,7
m2.6_M5.6_i25_D1.6,1,0.288,5.08,12
m2.6_M5.6_i30_D1.8,1,0.286,4.31,8
m3.0_M5.6_i20_D1.8,1,0.286,4.31,10
m3.0_M5.4_i25_D2.4,1,0.283,3.54,6
m3.0_M5.6_i25_D2.2,1,0.275,3.92,6
m3.0_M5.4_i20_D2.0,1,0.275,3.92,7
m3.2_M5.6_i20_D2.2,1,0.275,3.92,8
m3.2_M5.8_i25_D2.4,1,0.263,4.38,7
m3.2_M5.6_i20_D2.4,1,0.263,4.38,8
m2.8_M5.6_i25_D1.8,1,0.263,4.38,9
m2.6_M5.4_i25_D1.6,1,0.263,4.38,10
m2.8_M5.6_i20_D1.6,1,0.261,5.31,12
m2.8_M5.4_i20_D1.6,1,0.255,4.23,11
m3.0_M5.8_i25_D2.0,1,0.25,4.31,8
m2.6_M5.8_i25_D1.6,1,0.246,5.31,12
m3.0_M5.8_i25_D2.4,1,0.242,4.77,8
m3.0_M5.4_i20_D2.2,1,0.237,4.54,8
m3.2_M5.8_i20_D2.0,1,0.237,4.54,9
m2.6_M5.8_i30_D1.8,1,0.234,4.92,9
m3.0_M5.6_i20_D2.0,1,0.233,4.62,8
m3.0_M5.4_i20_D2.4,1,0.232,4.31,8
m3.0_M5.8_i25_D2.2,1,0.23,4.69,8
m2.8_M5.8_i25_D1.8,1,0.224,5.15,10
m2.8_M5.4_i20_D1.8,1,0.222,4.85,12
m3.0_M5.8_i20_D1.8,1,0.217,5.31,11
m2.6_M5.4_i25_D1.8,1,0.215,5,9
m3.0_M5.6_i20_D2.2,1,0.212,5.08,10
m3.2_M5.8_i20_D2.4,1,0.211,5.46,9
m3.0_M5.6_i20_D2.4,1,0.211,5.46,11
m3.2_M5.8_i20_D2.2,1,0.209,5.15,10
m2.6_M5.6_i25_D1.8,1,0.205,6,11
m2.8_M5.8_i20_D1.6,1,0.198,6.23,12
m2.6_M5.6_i20_D1.6,1,0.196,7.46,20
m2.8_M5.6_i20_D1.8,1,0.193,6.38,13
m3.0_M5.8_i20_D2.0,1,0.189,5.69,10
m2.6_M5.4_i20_D1.6,1,0.188,6.54,17
m3.0_M5.8_i20_D2.4,1,0.176,6.54,12
m2.6_M5.8_i25_D1.8,1,0.172,6.69,14
m3.0_M5.8_i20_D2.2,1,0.169,6.38,11
m2.6_M5.4_i20_D1.8,1,0.159,6.77,17
m2.6_M5.8_i20_D1.6,1,0.157,8.31,22
m2.6_M5.6_i20_D1.8,1,0.151,8.15,20
m2.8_M5.8_i20_D1.8,1,0.147,7.85,16
m2.6_M5.8_i20_D1.8,1,0.12,9.62,21
m3.4_M5.6_i20_D1.6,0.938,0.714,1.62,4
m3.4_M5.6_i20_D1.8,0.938,0.556,2.08,5
m3.4_M5.8_i20_D1.6,0.938,0.536,2.15,4
m3.2_M5.4_i30_D1.8,0.933,0.737,1.46,3
m3.2_M5.6_i30_D1.6,0.933,0.7,1.54,4
m3.4_M5.4_i20_D1.8,0.933,0.7,1.54,4
m3.4_M5.4_i20_D2.0,0.933,0.636,1.69,5
m3.2_M5.6_i35_D1.8,0.933,0.609,1.77,4
m3.2_M5.6_i35_D2.0,0.933,0.56,1.92,4
m3.4_M5.6_i20_D2.0,0.933,0.438,2.46,6
m3.4_M5.6_i20_D2.4,0.933,0.424,2.54,5
m3.4_M5.8_i20_D1.8,0.933,0.424,2.54,5
m3.4_M5.8_i20_D2.4,0.933,0.311,3.46,7
m3.0_M5.6_i40_D1.6,0.929,0.765,1.31,2
m3.2_M5.4_i25_D1.6,0.929,0.765,1.31,2
m3.0_M5.4_i35_D1.8,0.929,0.619,1.62,3
m3.0_M5.6_i35_D1.6,0.929,0.619,1.62,4
m3.4_M5.4_i20_D2.4,0.929,0.591,1.69,3
m3.0_M5.8_i40_D1.6,0.929,0.591,1.69,4
m2.8_M5.4_i40_D1.8,0.929,0.565,1.77,3
m3.4_M5.4_i20_D2.2,0.929,0.565,1.77,3
m2.8_M5.6_i40_D1.6,0.929,0.565,1.77,4
m3.0_M5.4_i35_D2.0,0.929,0.542,1.85,3
m3.0_M5.4_i30_D1.6,0.929,0.542,1.85,4
m3.0_M5.4_i30_D1.8,0.929,0.542,1.85,4
m2.8_M5.8_i40_D1.6,0.929,0.52,1.92,4
m2.8_M5.4_i35_D1.6,0.929,0.5,2,3
m3.2_M5.8_i35_D1.8,0.929,0.5,2,4
m3.0_M5.8_i35_D1.6,0.929,0.5,2,5
m3.2_M5.6_i35_D2.2,0.929,0.481,2.08,5
m3.2_M5.6_i35_D2.4,0.929,0.481,2.08,5
m2.8_M5.4_i40_D2.0,0.929,0.464,2.15,4
m2.8_M5.4_i35_D1.8,0.929,0.448,2.23,4
m2.8_M5.4_i40_D2.2,0.929,0.448,2.23,4
m3.2_M5.8_i35_D2.0,0.929,0.433,2.31,5
m3.2_M5.8_i35_D2.2,0.929,0.419,2.38,6
m2.6_M5.4_i40_D1.6,0.929,0.406,2.46,5
m3.4_M5.6_i20_D2.2,0.929,0.406,2.46,5
m2.8_M5.4_i35_D2.0,0.929,0.394,2.54,5
m2.8_M5.4_i35_D2.2,0.929,0.382,2.62,4
m2.8_M5.6_i40_D2.0,0.929,0.382,2.62,4
m3.2_M5.8_i35_D2.4,0.929,0.382,2.62,5
m2.6_M5.4_i35_D1.6,0.929,0.371,2.69,5
m2.6_M5.4_i40_D1.8,0.929,0.361,2.77,5
m2.8_M5.6_i40_D2.2,0.929,0.342,2.92,4
m2.6_M5.4_i40_D2.0,0.929,0.333,3,6
m2.8_M5.6_i35_D2.0,0.929,0.325,3.08,5
m2.6_M5.4_i40_D2.2,0.929,0.325,3.08,6
m3.4_M5.8_i20_D2.0,0.929,0.325,3.08,8
m2.8_M5.8_i40_D2.0,0.929,0.317,3.15,5
m2.8_M5.4_i30_D2.0,0.929,0.317,3.15,6
m2.8_M5.6_i35_D2.2,0.929,0.31,3.23,5
m2.8_M5.8_i40_D2.2,0.929,0.31,3.23,5
m2.6_M5.4_i35_D1.8,0.929,0.31,3.23,7
m2.6_M5.6_i40_D2.0,0.929,0.295,3.38,5
m2.6_M5.6_i40_D2.2,0.929,0.295,3.38,6
m2.8_M5.4_i30_D2.2,0.929,0.289,3.46,5
m2.6_M5.4_i35_D2.2,0.929,0.283,3.54,7
m2.6_M5.4_i35_D2.0,0.929,0.283,3.54,8
m3.4_M5.8_i20_D2.2,0.929,0.283,3.54,8
m2.8_M5.8_i35_D2.2,0.929,0.277,3.62,6
m2.8_M5.6_i30_D2.0,0.929,0.271,3.69,5
m2.8_M5.8_i35_D2.0,0.929,0.271,3.69,7
m2.6_M5.8_i40_D2.2,0.929,0.26,3.85,7
m2.8_M5.8_i35_D2.4,0.929,0.255,3.92,6
m2.6_M5.8_i40_D2.0,0.929,0.255,3.92,7
m2.8_M5.4_i25_D2.0,0.929,0.255,3.92,7
m2.6_M5.6_i35_D2.0,0.929,0.255,3.92,8
m2.6_M5.4_i30_D2.0,0.929,0.255,3.92,9
m2.6_M5.6_i35_D2.2,0.929,0.25,4,7
m2.8_M5.6_i30_D2.2,0.929,0.25,4,7
m2.8_M5.8_i30_D2.2,0.929,0.232,4.31,7
m2.6_M5.4_i30_D2.2,0.929,0.232,4.31,9
m2.8_M5.6_i30_D2.4,0.929,0.232,4.31,9
m2.8_M5.4_i25_D2.2,0.929,0.228,4.38,7
m2.6_M5.8_i35_D2.2,0.929,0.224,4.46,8
m2.8_M5.8_i30_D2.0,0.929,0.224,4.46,8
m2.6_M5.8_i40_D2.4,0.929,0.22,4.54,8
m2.6_M5.8_i35_D2.0,0.929,0.213,4.69,9
m2.8_M5.6_i25_D2.0,0.929,0.21,4.77,8
m2.8_M5.8_i30_D2.4,0.929,0.206,4.85,8
m2.8_M5.6_i25_D2.2,0.929,0.206,4.85,9
m2.6_M5.6_i30_D2.0,0.929,0.203,4.92,9
m2.6_M5.6_i35_D2.4,0.929,0.2,5,10
m2.6_M5.6_i30_D2.2,0.929,0.197,5.08,11
m2.8_M5.6_i25_D2.4,0.929,0.194,5.15,11
m2.6_M5.8_i35_D2.4,0.929,0.186,5.38,10
m2.8_M5.8_i25_D2.0,0.929,0.178,5.62,10
m2.8_M5.4_i20_D2.0,0.929,0.178,5.62,13
m2.8_M5.8_i25_D2.2,0.929,0.176,5.69,9
m2.6_M5.8_i30_D2.0,0.929,0.176,5.69,11
m2.6_M5.8_i30_D2.2,0.929,0.171,5.85,11
m2.8_M5.8_i25_D2.4,0.929,0.169,5.92,10
m2.8_M5.4_i20_D2.2,0.929,0.165,6.08,13
m2.6_M5.4_i25_D2.0,0.929,0.163,6.15,12
m2.6_M5.4_i25_D2.2,0.929,0.16,6.23,15
m2.6_M5.6_i30_D2.4,0.929,0.153,6.54,12
m2.6_M5.6_i25_D2.0,0.929,0.149,6.69,11
m2.8_M5.6_i20_D2.0,0.929,0.144,6.92,14
m2.6_M5.8_i30_D2.4,0.929,0.143,7,12
m2.6_M5.6_i25_D2.2,0.929,0.143,7,14
m2.6_M5.8_i25_D2.0,0.929,0.138,7.23,13
m2.6_M5.8_i25_D2.2,0.929,0.133,7.54,13
m2.8_M5.6_i20_D2.2,0.929,0.131,7.62,15
m2.8_M5.6_i20_D2.4,0.929,0.126,7.92,16
m2.8_M5.8_i20_D2.0,0.929,0.124,8.08,16
m2.6_M5.4_i20_D2.2,0.929,0.124,8.08,17
m2.6_M5.4_i20_D2.0,0.929,0.123,8.15,18
m2.6_M5.6_i25_D2.4,0.929,0.121,8.23,16
m2.6_M5.8_i25_D2.4,0.929,0.117,8.54,14
m2.8_M5.8_i20_D2.2,0.929,0.115,8.69,17
m2.6_M5.6_i20_D2.0,0.929,0.114,8.77,21
m2.8_M5.8_i20_D2.4,0.929,0.111,9,17
m2.6_M5.6_i20_D2.2,0.929,0.109,9.15,18
m2.6_M5.6_i20_D2.4,0.929,0.102,9.77,19
m2.6_M5.8_i20_D2.0,0.929,0.0985,10.2,22
m2.6_M5.8_i20_D2.2,0.929,0.0956,10.5,18
m2.6_M5.8_i20_D2.4,0.929,0.0897,11.2,19
m3.0_M5.4_i40_D1.8,0.923,0.667,1.38,3
m3.0_M5.4_i40_D2.0,0.923,0.571,1.62,3
m2.8_M5.4_i40_D2.4,0.923,0.353,2.62,6
m2.8_M5.4_i35_D2.4,0.923,0.308,3,6
m2.8_M5.6_i40_D2.4,0.923,0.3,3.08,5
m2.8_M5.8_i40_D2.4,0.923,0.293,3.15,6
m2.6_M5.4_i40_D2.4,0.923,0.273,3.38,6
m2.8_M5.4_i30_D2.4,0.923,0.273,3.38,6
m2.8_M5.6_i35_D2.4,0.923,0.273,3.38,6
m2.6_M5.4_i35_D2.4,0.923,0.231,4,8
m2.6_M5.6_i40_D2.4,0.923,0.222,4.15,8
m2.6_M5.2_i30_D2.4,0.923,0.218,4.23,7
m2.8_M5.4_i25_D2.4,0.923,0.211,4.38,9
m2.6_M5.4_i30_D2.4,0.923,0.176,5.23,9
m2.6_M5.2_i25_D2.4,0.923,0.156,5.92,15
m2.8_M5.4_i20_D2.4,0.923,0.15,6.15,13
m2.6_M5.4_i25_D2.4,0.923,0.129,7.15,14
m2.6_M5.2_i20_D2.4,0.923,0.12,7.69,16
m2.6_M5.4_i20_D2.4,0.923,0.108,8.54,16
m3.2_M5.6_i40_D1.8,0.867,0.722,1.38,3
m3.4_M5.6_i25_D1.8,0.867,0.684,1.46,4
m3.2_M5.6_i40_D2.0,0.867,0.65,1.54,3
m3.4_M5.8_i25_D1.8,0.867,0.565,1.77,4
m3.4_M5.6_i25_D2.0,0.867,0.565,1.77,5
m3.2_M5.4_i30_D1.6,0.857,0.8,1.15,2
m3.4_M5.6_i25_D1.6,0.857,0.8,1.15,4
m3.4_M5.4_i25_D2.0,0.857,0.75,1.23,3
m3.4_M5.4_i25_D2.4,0.857,0.667,1.38,3
m3.4_M5.8_i25_D1.6,0.857,0.6,1.54,4
m3.2_M5.4_i35_D2.2,0.857,0.571,1.62,3
m3.2_M5.4_i35_D2.4,0.857,0.571,1.62,3
m3.2_M5.6_i40_D2.2,0.857,0.571,1.62,3
m3.2_M5.8_i40_D1.8,0.857,0.545,1.69,4
m3.2_M5.8_i40_D2.0,0.857,0.522,1.77,4
m3.2_M5.6_i40_D2.4,0.857,0.5,1.85,4
m3.2_M5.8_i40_D2.2,0.857,0.48,1.92,4
m3.4_M5.6_i25_D2.2,0.857,0.48,1.92,5
m3.4_M5.6_i25_D2.4,0.857,0.462,2,5
m3.2_M5.8_i40_D2.4,0.857,0.444,2.08,4
m3.0_M5.2_i25_D2.0,0.857,0.429,2.15,4
m3.0_M5.2_i25_D2.2,0.857,0.429,2.15,4
m3.4_M5.8_i25_D2.0,0.857,0.414,2.23,6
