Optimization,m,M,i,D,Sens,PPV,PocNum_Mean,PocNum_Max
1,3.8,5.8,20,2.4,0.385,0.333,1.15,3
1,3.8,6.2,20,1.6,0.385,0.294,1.31,3
1,3.8,6.2,30,2.4,0.385,0.227,1.69,7
1,3.8,6.2,30,2.8,0.385,0.217,1.77,5
1,3.8,6.6,25,1.6,0.385,0.208,1.85,7
1,3.8,6.2,30,3.2,0.385,0.185,2.08,4
1,3.8,6.6,30,2.4,0.385,0.156,2.46,6
1,3.8,7,30,2.4,0.385,0.111,3.46,7
1,3.8,6.6,25,2.4,0.385,0.109,3.54,7
1,3.8,6.6,30,3.2,0.385,0.102,3.77,6
1,3.8,7,30,3.2,0.385,0.0877,4.38,7
1,3.8,7,25,2.4,0.385,0.0806,4.77,10
1,4.2,7,10,3.2,0.385,0.0397,9.69,21
1,4.2,7,20,1.6,0.357,0.227,1.69,8
1,4.2,6.6,15,1.6,0.357,0.192,2,9
1,4.2,7,15,1.6,0.357,0.128,3,12
1,4.2,7,15,2,0.357,0.0833,4.62,9
1,4.2,7,10,2.8,0.357,0.0376,10.2,20
1,4.2,6.2,10,2,0.333,0.2,1.92,6
1,4.2,6.6,10,2,0.333,0.0575,6.69,13
1,3.8,5.8,20,1.6,0.308,0.667,0.462,2
1,3.8,5.8,20,2,0.308,0.4,0.769,3
1,3.8,5.8,30,3.2,0.308,0.4,0.769,3
1,3.8,6.2,30,2,0.308,0.286,1.08,3
1,3.8,7,30,1.6,0.308,0.222,1.38,6
1,4.2,6.6,20,1.6,0.308,0.222,1.38,6
1,4.2,7,20,3.2,0.308,0.0645,4.77,7
1,4.2,7,15,3.2,0.308,0.0494,6.23,9
1,4.2,6.6,10,3.2,0.308,0.04,7.69,17
1,4.2,7,25,1.6,0.286,0.286,1.08,5
1,4.2,6.6,15,2,0.286,0.111,2.77,7
1,4.2,6.6,10,2.4,0.286,0.0412,7.46,15
1,4.2,6.6,10,2.8,0.286,0.0408,7.54,15
1,4.2,7,10,2.4,0.286,0.0294,10.5,22
1,4.2,6.2,10,2.4,0.267,0.105,2.92,9
1,3.8,5.8,25,1.6,0.231,1,0.231,1
1,3.8,5.8,25,2,0.231,0.75,0.308,2
1,3.8,6.2,30,1.6,0.231,0.6,0.385,2
1,3.8,5.4,10,3.2,0.231,0.5,0.462,2
1,3.8,5.8,25,2.4,0.231,0.429,0.538,2
1,3.8,5.8,30,2.8,0.231,0.375,0.615,2
1,3.8,6.2,25,1.6,0.231,0.375,0.615,2
1,3.8,6.6,30,1.6,0.231,0.214,1.08,4
1,4.2,6.2,10,1.6,0.231,0.2,1.15,2
1,4.2,6.6,30,2.8,0.231,0.15,1.54,6
1,4.2,7,25,2,0.231,0.13,1.77,5
1,4.2,6.6,30,3.2,0.231,0.125,1.85,6
1,4.2,6.6,25,2.8,0.231,0.115,2,6
1,4.2,7,30,2.8,0.231,0.103,2.23,5
1,4.2,6.6,25,3.2,0.231,0.0968,2.38,6
1,4.2,6.2,15,3.2,0.231,0.0882,2.62,7
1,4.2,7,30,3.2,0.231,0.0857,2.69,5
1,4.2,7,20,2,0.231,0.0857,2.69,6
1,4.2,6.6,20,2.8,0.231,0.0833,2.77,8
1,4.2,7,25,2.8,0.231,0.0811,2.85,6
1,4.2,7,25,3.2,0.231,0.0682,3.38,6
1,4.2,6.6,20,3.2,0.231,0.0682,3.38,7
1,4.2,6.2,10,3.2,0.231,0.0612,3.77,9
1,4.2,6.6,15,2.4,0.231,0.0577,4,9
1,4.2,7,20,2.8,0.231,0.0566,4.08,7
1,4.2,6.6,15,2.8,0.231,0.0508,4.54,9
1,4.2,6.6,15,3.2,0.231,0.0476,4.85,8
1,4.2,7,15,2.4,0.231,0.0411,5.62,10
1,4.2,7,15,2.8,0.231,0.0411,5.62,10
1,4.2,6.2,10,2.8,0.214,0.0682,3.38,10
1,3.8,5.8,30,1.6,0.154,1,0.154,1
1,3.8,5.8,30,2,0.154,0.667,0.231,2
1,3.8,5.4,10,2.4,0.154,0.5,0.308,1
1,3.8,5.4,10,2.8,0.154,0.5,0.308,1
1,3.8,5.8,30,2.4,0.154,0.5,0.308,2
1,4.2,6.2,15,2,0.154,0.2,0.769,2
1,4.2,6.6,25,1.6,0.154,0.2,0.769,2
1,4.2,6.2,20,3.2,0.154,0.111,1.38,5
1,4.2,6.6,20,2,0.154,0.0952,1.62,6
1,4.2,6.6,25,2.4,0.154,0.0833,1.85,6
1,4.2,6.6,20,2.4,0.154,0.069,2.23,8
1,4.2,7,25,2.4,0.154,0.0571,2.69,7
1,4.2,7,20,2.4,0.154,0.0426,3.62,7
1,3.8,5.4,10,1.6,0.0769,1,0.0769,1
1,3.8,5.4,10,2,0.0769,1,0.0769,1
1,3.8,5.4,15,1.6,0.0769,1,0.0769,1
1,3.8,5.4,15,2,0.0769,1,0.0769,1
1,3.8,5.4,15,2.4,0.0769,1,0.0769,1
1,3.8,5.4,15,2.8,0.0769,1,0.0769,1
1,3.8,5.4,15,3.2,0.0769,1,0.0769,1
1,3.8,5.4,20,1.6,0.0769,1,0.0769,1
1,3.8,5.4,20,2,0.0769,1,0.0769,1
1,3.8,5.4,20,2.4,0.0769,1,0.0769,1
1,3.8,5.4,20,2.8,0.0769,1,0.0769,1
1,3.8,5.4,20,3.2,0.0769,1,0.0769,1
1,4.2,5.8,15,2,0.0769,1,0.0769,1
1,4.2,5.8,15,2.4,0.0769,1,0.0769,1
1,4.2,5.8,15,2.8,0.0769,1,0.0769,1
1,4.2,5.8,20,2,0.0769,1,0.0769,1
1,4.2,5.8,20,2.4,0.0769,1,0.0769,1
1,4.2,5.8,20,2.8,0.0769,1,0.0769,1
1,4.2,6.2,20,1.6,0.0769,1,0.0769,1
1,4.2,6.2,25,1.6,0.0769,1,0.0769,1
1,4.2,5.8,10,2,0.0769,0.5,0.154,1
1,4.2,5.8,10,2.4,0.0769,0.5,0.154,1
1,4.2,5.8,10,2.8,0.0769,0.5,0.154,1
1,4.2,5.8,15,3.2,0.0769,0.5,0.154,1
1,4.2,5.8,20,3.2,0.0769,0.5,0.154,1
1,4.2,6.2,25,2,0.0769,0.5,0.154,1
1,4.2,5.8,10,3.2,0.0769,0.333,0.231,1
1,4.2,6.2,20,2,0.0769,0.333,0.231,1
1,4.2,6.2,25,2.4,0.0769,0.333,0.231,1
1,4.2,6.2,30,2.8,0.0769,0.2,0.385,2
1,4.2,6.2,15,1.6,0.0769,0.167,0.462,1
1,4.2,6.2,25,2.8,0.0769,0.143,0.538,3
1,4.2,6.2,30,3.2,0.0769,0.125,0.615,2
1,4.2,6.2,20,2.4,0.0769,0.111,0.692,4
1,4.2,6.2,25,3.2,0.0769,0.1,0.769,2
1,4.2,6.2,20,2.8,0.0769,0.0769,1,5
1,4.2,7,30,2,0.0769,0.0625,1.23,4
1,4.2,6.6,25,2,0.0769,0.0625,1.23,5
1,4.2,6.2,15,2.4,0.0769,0.0588,1.31,5
1,4.2,6.2,15,2.8,0.0769,0.04,1.92,7
1,4.2,7,30,2.4,0.0769,0.0385,2,5
1,4.2,5.8,10,1.6,,,0.0769,1
1,4.2,6.2,30,2.4,,,0.0769,1
1,4.2,6.6,30,1.6,,,0.231,1
1,4.2,7,30,1.6,,,0.462,1
1,4.2,6.6,30,2,,,0.692,3
1,4.2,6.6,30,2.4,,,1,4
2,3.2,5.4,30,2,1,0.682,1.69,3
2,3,5.6,40,1.8,1,0.652,1.77,5
2,3.2,5.4,25,1.8,1,0.625,1.85,3
2,3.2,5.4,30,2.2,1,0.609,1.77,3
2,3.2,5.8,30,1.6,1,0.583,1.85,4
2,3.2,5.4,25,2,1,0.577,2,4
2,3.2,5.6,25,1.6,1,0.577,2,4
2,3,5.6,30,1.6,1,0.577,2,6
2,3,5.4,40,2.2,1,0.565,1.77,3
2,3.2,5.4,30,2.4,1,0.56,1.92,3
2,3.2,5.6,30,1.8,1,0.556,2.08,4
2,3,5.4,30,2,1,0.538,2,3
2,3,5.6,35,1.8,1,0.536,2.15,5
2,3,5.4,35,2.2,1,0.519,2.08,3
2,3.2,5.4,25,2.2,1,0.519,2.08,4
2,3.2,5.6,25,1.8,1,0.517,2.23,4
2,3.2,5.6,30,2,1,0.517,2.23,4
2,3.2,5.8,25,1.6,1,0.517,2.23,5
2,3,5.4,40,2.4,1,0.5,2,3
2,3,5.6,40,2,1,0.5,2.15,3
2,3,5.8,40,1.8,1,0.5,2.15,4
2,3.2,5.8,30,1.8,1,0.5,2.15,4
2,3.2,5.4,20,1.8,1,0.484,2.38,4
2,3,5.6,30,1.8,1,0.484,2.38,5
2,2.8,5.6,35,1.6,1,0.484,2.38,6
2,3,5.6,40,2.2,1,0.483,2.23,4
2,3.2,5.4,20,1.6,1,0.483,2.23,4
2,3,5.8,30,1.6,1,0.483,2.23,5
2,3.2,5.6,30,2.2,1,0.483,2.23,5
2,2.6,5.6,40,1.6,1,0.469,2.46,5
2,3,5.4,30,2.2,1,0.467,2.31,3
2,2.8,5.6,40,1.8,1,0.467,2.31,4
2,3,5.4,25,1.6,1,0.467,2.31,4
2,3.2,5.6,20,1.6,1,0.457,2.69,6
2,3,5.6,35,2,1,0.452,2.38,4
2,3.2,5.4,25,2.4,1,0.452,2.38,4
2,2.8,5.8,40,1.8,1,0.452,2.38,5
2,3,5.8,35,1.8,1,0.452,2.38,5
2,3,5.6,25,1.6,1,0.429,2.69,6
2,3.2,5.8,25,1.8,1,0.429,2.69,6
2,2.8,5.4,30,1.6,1,0.424,2.54,5
2,3.2,5.6,30,2.4,1,0.424,2.54,5
2,2.8,5.8,30,1.6,1,0.421,2.92,6
2,3.2,5.6,25,2,1,0.417,2.77,5
2,2.8,5.6,30,1.6,1,0.417,2.77,6
2,2.6,5.8,40,1.6,1,0.412,2.62,5
2,2.8,5.8,35,1.6,1,0.412,2.62,5
2,3,5.4,25,1.8,1,0.412,2.62,5
2,3,5.6,40,2.4,1,0.412,2.62,5
2,3.2,5.6,20,1.8,1,0.41,3,6
2,3.2,5.8,20,1.6,1,0.41,3,6
2,2.6,5.6,35,1.6,1,0.41,3,7
2,3,5.8,25,1.6,1,0.405,2.85,5
2,3.2,5.4,20,2,1,0.405,2.85,5
2,3,5.6,35,2.2,1,0.4,2.69,4
2,3,5.8,30,1.8,1,0.4,2.69,5
2,3,5.8,40,2,1,0.4,2.69,5
2,3,5.4,35,2.4,1,0.394,2.54,5
2,2.6,5.8,35,1.6,1,0.39,3.15,7
2,3,5.6,30,2,1,0.389,2.77,4
2,2.8,5.4,30,1.8,1,0.389,2.77,5
2,2.6,5.6,30,1.6,1,0.388,3.77,10
2,3,5.4,25,2,1,0.378,2.85,5
2,3,5.6,35,2.4,1,0.378,2.85,5
2,2.8,5.6,35,1.8,1,0.378,2.85,6
2,3.2,5.8,30,2,1,0.378,2.85,6
2,3,5.6,25,1.8,1,0.375,3.08,6
2,3,5.4,30,2.4,1,0.371,2.69,6
2,3,5.8,40,2.2,1,0.368,2.92,5
2,3.2,5.6,25,2.2,1,0.368,2.92,5
2,2.8,5.8,35,1.8,1,0.368,2.92,6
2,2.6,5.6,40,1.8,1,0.366,3.15,6
2,3,5.8,35,2,1,0.359,3,5
2,3,5.8,40,2.4,1,0.359,3,5
2,3.2,5.8,30,2.2,1,0.359,3,6
2,3,5.8,35,2.4,1,0.35,3.08,5
2,2.6,5.8,40,1.8,1,0.349,3.31,6
2,2.6,5.4,30,1.6,1,0.349,3.31,8
2,3,5.6,30,2.2,1,0.341,3.15,5
2,3,5.8,35,2.2,1,0.341,3.15,5
2,3.2,5.4,20,2.2,1,0.341,3.15,5
2,3.2,5.8,30,2.4,1,0.341,3.15,5
2,3,5.4,20,1.6,1,0.341,3.15,7
2,2.6,5.6,35,1.8,1,0.34,3.62,8
2,3.2,5.6,25,2.4,1,0.333,3.23,5
2,2.8,5.6,30,1.8,1,0.333,3.23,6
2,3,5.8,30,2,1,0.333,3.23,6
2,2.8,5.4,25,1.6,1,0.333,3.23,7
2,3,5.6,20,1.6,1,0.333,3.69,9
2,2.6,5.8,30,1.6,1,0.327,4,9
2,2.8,5.6,25,1.6,1,0.327,3.77,9
2,3.2,5.8,20,1.8,1,0.326,3.54,8
2,3.2,5.4,20,2.4,1,0.326,3.31,5
2,3,5.6,30,2.4,1,0.326,3.31,6
2,3.2,5.6,20,2,1,0.319,3.62,6
2,2.8,5.8,30,1.8,1,0.319,3.62,7
2,3.2,5.8,25,2,1,0.318,3.38,8
2,2.8,5.8,25,1.6,1,0.308,4,8
2,2.6,5.8,35,1.8,1,0.306,3.77,7
2,3,5.8,25,1.8,1,0.306,3.77,8
2,3,5.4,25,2.2,1,0.304,3.54,6
2,3,5.6,25,2,1,0.304,3.54,6
2,3,5.4,20,1.8,1,0.304,3.54,8
2,3,5.8,30,2.4,1,0.3,3.85,6
2,3,5.8,30,2.2,1,0.298,3.62,6
2,2.6,5.4,30,1.8,1,0.298,3.62,7
2,2.8,5.4,25,1.8,1,0.298,3.62,7
2,3,5.8,20,1.6,1,0.296,4.15,9
2,3.2,5.8,25,2.2,1,0.292,3.69,8
2,3,5.6,25,2.4,1,0.288,4,7
2,2.6,5.6,25,1.6,1,0.288,5.08,12
2,2.6,5.6,30,1.8,1,0.286,4.31,8
2,3,5.6,20,1.8,1,0.286,4.31,10
2,3,5.4,25,2.4,1,0.283,3.54,6
2,3,5.6,25,2.2,1,0.275,3.92,6
2,3,5.4,20,2,1,0.275,3.92,7
2,3.2,5.6,20,2.2,1,0.275,3.92,8
2,3.2,5.8,25,2.4,1,0.263,4.38,7
2,3.2,5.6,20,2.4,1,0.263,4.38,8
2,2.8,5.6,25,1.8,1,0.263,4.38,9
2,2.6,5.4,25,1.6,1,0.263,4.38,10
2,2.8,5.6,20,1.6,1,0.261,5.31,12
2,2.8,5.4,20,1.6,1,0.255,4.23,11
2,3,5.8,25,2,1,0.25,4.31,8
2,2.6,5.8,25,1.6,1,0.246,5.31,12
2,3,5.8,25,2.4,1,0.242,4.77,8
2,3,5.4,20,2.2,1,0.237,4.54,8
2,3.2,5.8,20,2,1,0.237,4.54,9
2,2.6,5.8,30,1.8,1,0.234,4.92,9
2,3,5.6,20,2,1,0.233,4.62,8
2,3,5.4,20,2.4,1,0.232,4.31,8
2,3,5.8,25,2.2,1,0.23,4.69,8
2,2.8,5.8,25,1.8,1,0.224,5.15,10
2,2.8,5.4,20,1.8,1,0.222,4.85,12
2,3,5.8,20,1.8,1,0.217,5.31,11
2,2.6,5.4,25,1.8,1,0.215,5,9
2,3,5.6,20,2.2,1,0.212,5.08,10
2,3.2,5.8,20,2.4,1,0.211,5.46,9
2,3,5.6,20,2.4,1,0.211,5.46,11
2,3.2,5.8,20,2.2,1,0.209,5.15,10
2,2.6,5.6,25,1.8,1,0.205,6,11
2,2.8,5.8,20,1.6,1,0.198,6.23,12
2,2.6,5.6,20,1.6,1,0.196,7.46,20
2,2.8,5.6,20,1.8,1,0.193,6.38,13
2,3,5.8,20,2,1,0.189,5.69,10
2,2.6,5.4,20,1.6,1,0.188,6.54,17
2,3,5.8,20,2.4,1,0.176,6.54,12
2,2.6,5.8,25,1.8,1,0.172,6.69,14
2,3,5.8,20,2.2,1,0.169,6.38,11
2,2.6,5.4,20,1.8,1,0.159,6.77,17
2,2.6,5.8,20,1.6,1,0.157,8.31,22
2,2.6,5.6,20,1.8,1,0.151,8.15,20
2,2.8,5.8,20,1.8,1,0.147,7.85,16
2,2.6,5.8,20,1.8,1,0.12,9.62,21
2,3.4,5.6,20,1.6,0.938,0.714,1.62,4
2,3.4,5.6,20,1.8,0.938,0.556,2.08,5
2,3.4,5.8,20,1.6,0.938,0.536,2.15,4
2,3.2,5.4,30,1.8,0.933,0.737,1.46,3
2,3.2,5.6,30,1.6,0.933,0.7,1.54,4
2,3.4,5.4,20,1.8,0.933,0.7,1.54,4
2,3.4,5.4,20,2,0.933,0.636,1.69,5
2,3.2,5.6,35,1.8,0.933,0.609,1.77,4
2,3.2,5.6,35,2,0.933,0.56,1.92,4
2,3.4,5.6,20,2,0.933,0.438,2.46,6
2,3.4,5.6,20,2.4,0.933,0.424,2.54,5
2,3.4,5.8,20,1.8,0.933,0.424,2.54,5
2,3.4,5.8,20,2.4,0.933,0.311,3.46,7
2,3,5.6,40,1.6,0.929,0.765,1.31,2
2,3.2,5.4,25,1.6,0.929,0.765,1.31,2
2,3,5.4,35,1.8,0.929,0.619,1.62,3
2,3,5.6,35,1.6,0.929,0.619,1.62,4
2,3.4,5.4,20,2.4,0.929,0.591,1.69,3
2,3,5.8,40,1.6,0.929,0.591,1.69,4
2,2.8,5.4,40,1.8,0.929,0.565,1.77,3
2,3.4,5.4,20,2.2,0.929,0.565,1.77,3
2,2.8,5.6,40,1.6,0.929,0.565,1.77,4
2,3,5.4,35,2,0.929,0.542,1.85,3
2,3,5.4,30,1.6,0.929,0.542,1.85,4
2,3,5.4,30,1.8,0.929,0.542,1.85,4
2,2.8,5.8,40,1.6,0.929,0.52,1.92,4
2,2.8,5.4,35,1.6,0.929,0.5,2,3
2,3.2,5.8,35,1.8,0.929,0.5,2,4
2,3,5.8,35,1.6,0.929,0.5,2,5
2,3.2,5.6,35,2.2,0.929,0.481,2.08,5
2,3.2,5.6,35,2.4,0.929,0.481,2.08,5
2,2.8,5.4,40,2,0.929,0.464,2.15,4
2,2.8,5.4,35,1.8,0.929,0.448,2.23,4
2,2.8,5.4,40,2.2,0.929,0.448,2.23,4
2,3.2,5.8,35,2,0.929,0.433,2.31,5
2,3.2,5.8,35,2.2,0.929,0.419,2.38,6
2,2.6,5.4,40,1.6,0.929,0.406,2.46,5
2,3.4,5.6,20,2.2,0.929,0.406,2.46,5
2,2.8,5.4,35,2,0.929,0.394,2.54,5
2,2.8,5.4,35,2.2,0.929,0.382,2.62,4
2,2.8,5.6,40,2,0.929,0.382,2.62,4
2,3.2,5.8,35,2.4,0.929,0.382,2.62,5
2,2.6,5.4,35,1.6,0.929,0.371,2.69,5
2,2.6,5.4,40,1.8,0.929,0.361,2.77,5
2,2.8,5.6,40,2.2,0.929,0.342,2.92,4
2,2.6,5.4,40,2,0.929,0.333,3,6
2,2.8,5.6,35,2,0.929,0.325,3.08,5
2,2.6,5.4,40,2.2,0.929,0.325,3.08,6
2,3.4,5.8,20,2,0.929,0.325,3.08,8
2,2.8,5.8,40,2,0.929,0.317,3.15,5
2,2.8,5.4,30,2,0.929,0.317,3.15,6
2,2.8,5.6,35,2.2,0.929,0.31,3.23,5
2,2.8,5.8,40,2.2,0.929,0.31,3.23,5
2,2.6,5.4,35,1.8,0.929,0.31,3.23,7
2,2.6,5.6,40,2,0.929,0.295,3.38,5
2,2.6,5.6,40,2.2,0.929,0.295,3.38,6
2,2.8,5.4,30,2.2,0.929,0.289,3.46,5
2,2.6,5.4,35,2.2,0.929,0.283,3.54,7
2,2.6,5.4,35,2,0.929,0.283,3.54,8
2,3.4,5.8,20,2.2,0.929,0.283,3.54,8
2,2.8,5.8,35,2.2,0.929,0.277,3.62,6
2,2.8,5.6,30,2,0.929,0.271,3.69,5
2,2.8,5.8,35,2,0.929,0.271,3.69,7
2,2.6,5.8,40,2.2,0.929,0.26,3.85,7
2,2.8,5.8,35,2.4,0.929,0.255,3.92,6
2,2.6,5.8,40,2,0.929,0.255,3.92,7
2,2.8,5.4,25,2,0.929,0.255,3.92,7
2,2.6,5.6,35,2,0.929,0.255,3.92,8
2,2.6,5.4,30,2,0.929,0.255,3.92,9
2,2.6,5.6,35,2.2,0.929,0.25,4,7
2,2.8,5.6,30,2.2,0.929,0.25,4,7
2,2.8,5.8,30,2.2,0.929,0.232,4.31,7
2,2.6,5.4,30,2.2,0.929,0.232,4.31,9
2,2.8,5.6,30,2.4,0.929,0.232,4.31,9
2,2.8,5.4,25,2.2,0.929,0.228,4.38,7
2,2.6,5.8,35,2.2,0.929,0.224,4.46,8
2,2.8,5.8,30,2,0.929,0.224,4.46,8
2,2.6,5.8,40,2.4,0.929,0.22,4.54,8
2,2.6,5.8,35,2,0.929,0.213,4.69,9
2,2.8,5.6,25,2,0.929,0.21,4.77,8
2,2.8,5.8,30,2.4,0.929,0.206,4.85,8
2,2.8,5.6,25,2.2,0.929,0.206,4.85,9
2,2.6,5.6,30,2,0.929,0.203,4.92,9
2,2.6,5.6,35,2.4,0.929,0.2,5,10
2,2.6,5.6,30,2.2,0.929,0.197,5.08,11
2,2.8,5.6,25,2.4,0.929,0.194,5.15,11
2,2.6,5.8,35,2.4,0.929,0.186,5.38,10
2,2.8,5.8,25,2,0.929,0.178,5.62,10
2,2.8,5.4,20,2,0.929,0.178,5.62,13
2,2.8,5.8,25,2.2,0.929,0.176,5.69,9
2,2.6,5.8,30,2,0.929,0.176,5.69,11
2,2.6,5.8,30,2.2,0.929,0.171,5.85,11
2,2.8,5.8,25,2.4,0.929,0.169,5.92,10
2,2.8,5.4,20,2.2,0.929,0.165,6.08,13
2,2.6,5.4,25,2,0.929,0.163,6.15,12
2,2.6,5.4,25,2.2,0.929,0.16,6.23,15
2,2.6,5.6,30,2.4,0.929,0.153,6.54,12
2,2.6,5.6,25,2,0.929,0.149,6.69,11
2,2.8,5.6,20,2,0.929,0.144,6.92,14
2,2.6,5.8,30,2.4,0.929,0.143,7,12
2,2.6,5.6,25,2.2,0.929,0.143,7,14
2,2.6,5.8,25,2,0.929,0.138,7.23,13
2,2.6,5.8,25,2.2,0.929,0.133,7.54,13
2,2.8,5.6,20,2.2,0.929,0.131,7.62,15
2,2.8,5.6,20,2.4,0.929,0.126,7.92,16
2,2.8,5.8,20,2,0.929,0.124,8.08,16
2,2.6,5.4,20,2.2,0.929,0.124,8.08,17
2,2.6,5.4,20,2,0.929,0.123,8.15,18
2,2.6,5.6,25,2.4,0.929,0.121,8.23,16
2,2.6,5.8,25,2.4,0.929,0.117,8.54,14
2,2.8,5.8,20,2.2,0.929,0.115,8.69,17
2,2.6,5.6,20,2,0.929,0.114,8.77,21
2,2.8,5.8,20,2.4,0.929,0.111,9,17
2,2.6,5.6,20,2.2,0.929,0.109,9.15,18
2,2.6,5.6,20,2.4,0.929,0.102,9.77,19
2,2.6,5.8,20,2,0.929,0.0985,10.2,22
2,2.6,5.8,20,2.2,0.929,0.0956,10.5,18
2,2.6,5.8,20,2.4,0.929,0.0897,11.2,19
2,3,5.4,40,1.8,0.923,0.667,1.38,3
2,3,5.4,40,2,0.923,0.571,1.62,3
2,2.8,5.4,40,2.4,0.923,0.353,2.62,6
2,2.8,5.4,35,2.4,0.923,0.308,3,6
2,2.8,5.6,40,2.4,0.923,0.3,3.08,5
2,2.8,5.8,40,2.4,0.923,0.293,3.15,6
2,2.6,5.4,40,2.4,0.923,0.273,3.38,6
2,2.8,5.4,30,2.4,0.923,0.273,3.38,6
2,2.8,5.6,35,2.4,0.923,0.273,3.38,6
2,2.6,5.4,35,2.4,0.923,0.231,4,8
2,2.6,5.6,40,2.4,0.923,0.222,4.15,8
2,2.6,5.2,30,2.4,0.923,0.218,4.23,7
2,2.8,5.4,25,2.4,0.923,0.211,4.38,9
2,2.6,5.4,30,2.4,0.923,0.176,5.23,9
2,2.6,5.2,25,2.4,0.923,0.156,5.92,15
2,2.8,5.4,20,2.4,0.923,0.15,6.15,13
2,2.6,5.4,25,2.4,0.923,0.129,7.15,14
2,2.6,5.2,20,2.4,0.923,0.12,7.69,16
2,2.6,5.4,20,2.4,0.923,0.108,8.54,16
2,3.2,5.6,40,1.8,0.867,0.722,1.38,3
2,3.4,5.6,25,1.8,0.867,0.684,1.46,4
2,3.2,5.6,40,2,0.867,0.65,1.54,3
2,3.4,5.8,25,1.8,0.867,0.565,1.77,4
2,3.4,5.6,25,2,0.867,0.565,1.77,5
2,3.2,5.4,30,1.6,0.857,0.8,1.15,2
2,3.4,5.6,25,1.6,0.857,0.8,1.15,4
2,3.4,5.4,25,2,0.857,0.75,1.23,3
2,3.4,5.4,25,2.4,0.857,0.667,1.38,3
2,3.4,5.8,25,1.6,0.857,0.6,1.54,4
2,3.2,5.4,35,2.2,0.857,0.571,1.62,3
2,3.2,5.4,35,2.4,0.857,0.571,1.62,3
2,3.2,5.6,40,2.2,0.857,0.571,1.62,3
2,3.2,5.8,40,1.8,0.857,0.545,1.69,4
2,3.2,5.8,40,2,0.857,0.522,1.77,4
2,3.2,5.6,40,2.4,0.857,0.5,1.85,4
2,3.2,5.8,40,2.2,0.857,0.48,1.92,4
2,3.4,5.6,25,2.2,0.857,0.48,1.92,5
2,3.4,5.6,25,2.4,0.857,0.462,2,5
2,3.2,5.8,40,2.4,0.857,0.444,2.08,4
2,3,5.2,25,2,0.857,0.429,2.15,4
2,3,5.2,25,2.2,0.857,0.429,2.15,4
2,3.4,5.8,25,2,0.857,0.414,2.23,6
2,3.4,5.8,25,2.2,0.857,0.387,2.38,6
2,3.4,5.8,25,2.4,0.857,0.375,2.46,6
2,3,5.2,20,2.2,0.857,0.3,3.08,4
2,3,5.2,20,2,0.857,0.3,3.08,5
2,3,5.4,40,1.6,0.846,0.846,1,2
2,3.4,5.4,20,1.6,0.846,0.846,1,2
2,3,5.4,35,1.6,0.846,0.688,1.23,2
2,3.4,5.4,25,2.2,0.846,0.647,1.31,3
2,3.2,5.4,40,2.4,0.846,0.611,1.38,2
2,2.8,5.4,40,1.6,0.846,0.579,1.46,3
2,3,5.2,25,2.4,0.846,0.324,2.62,6
2,3,5.2,20,1.8,0.846,0.297,2.85,5
2,2.8,5.2,30,2.4,0.846,0.282,3,6
2,2.8,5.2,25,1.8,0.846,0.275,3.08,5
2,2.6,5.2,40,2.4,0.846,0.268,3.15,5
2,2.8,5,20,1.8,0.846,0.268,3.15,6
2,2.6,5.2,35,2.4,0.846,0.244,3.46,7
2,3,5.2,20,2.4,0.846,0.239,3.54,8
2,2.6,5,25,1.8,0.846,0.234,3.62,7
2,2.6,5.2,30,2.2,0.846,0.224,3.77,8
2,2.8,5.2,25,2.4,0.846,0.22,3.85,7
2,2.8,5.2,20,1.8,0.846,0.196,4.31,10
2,2.6,5.2,25,1.8,0.846,0.193,4.38,9
2,2.6,5,20,1.8,0.846,0.18,4.69,10
2,2.6,5,25,2.4,0.846,0.169,5,12
